group,strain,sample,plate,date,town,county,state,doi,tissue,mixed
VNI_VNIV,NC 112,PMY3493,MCM 024,2018,Durham,Durham County,North Carolina,0,Blood,
VNI_VNIV,NC 114,PMY3496,MCM 026 - A,2018,Raleigh,Wake County,North Carolina,0,Blood,
VNI_VNIV,NC 114,PMY3497,MCM 026 - B,2018,Raleigh,Wake County,North Carolina,0,Blood,
VNI_VNIV,NC 114,PMY3498,MCM 026 - C,2018,Raleigh,Wake County,North Carolina,0,Blood,
VNI_VNIV,NC 114,PMY3499,MCM 026 - D,2018,Raleigh,Wake County,North Carolina,0,Blood,
VNI_VNIV,NC 126,PMY3476,MCM 018 - A,2017,Raleigh,Wake County,North Carolina,0,Lung,
VNI_VNIV,NC8,PMY3399,MCM 109 - A,1997,Durham,Durham,North Carolina,0,Brain,
VNI_VNIV,NC8,PMY3400,MCM 109 - B,1997,Durham,Durham,North Carolina,0,Brain,
VNI_VNIV,NC8,PMY3401,MCM 109 - C,1997,Durham,Durham,North Carolina,0,Brain,
VNI_VNIV,NC8,PMY3402,MCM 112,1997,Durham,Durham,North Carolina,210,Brain,
VNI_VNIV,NC8,PMY3403,MCM 113 - A,1998,Durham,Durham,North Carolina,256,Brain,
VNI_VNIV,NC8,PMY3404,MCM 113 - B,1998,Durham,Durham,North Carolina,256,Brain,
VNI_VNIV,NC8,PMY3405,MCM 113 - C,1998,Durham,Durham,North Carolina,256,Brain,
VNI_VNIV,NC8,PMY3406,MCM 119,1998,Durham,Durham,North Carolina,319,Brain,
VNI_VNIV,NC8,PMY3408,MCM 125 - B,1998,Durham,Durham,North Carolina,392,Brain,
VNI_VNIV,NC8,PMY3409,MCM 125 - C,1998,Durham,Durham,North Carolina,392,Brain,
